chemin,classe,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\module-info.java,module-info.java,43,3,0.069767445,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,198,130,0.65656567,16,0.041035354
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation.java,384,239,0.6223958,35,0.017782738
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\Annotation.java,Annotation.java,441,289,0.6553288,38,0.017245496
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java,CategoryAnnotation.java,501,339,0.6766467,39,0.017349916
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,891,531,0.5959596,80,0.007449495
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,1372,774,0.56413996,124,0.004549516
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation.java,1618,897,0.5543881,149,0.0037207257
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\package-info.java,package-info.java,1622,900,0.55487055,149,0.0037239634
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java,TextAnnotation.java,1936,1077,0.55630165,182,0.0030566026
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYAnnotation.java,XYAnnotation.java,2000,1130,0.565,184,0.0030706523
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java,XYAnnotationBoundsInfo.java,2064,1187,0.5750969,187,0.0030753845
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation.java,2406,1353,0.56234413,219,0.0025677814
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation.java,2741,1529,0.5578256,252,0.0022135938
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation.java,3012,1657,0.5501328,273,0.0020151385
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java,XYImageAnnotation.java,3284,1795,0.54658955,299,0.0018280587
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java,XYLineAnnotation.java,3615,1946,0.5383126,327,0.0016462159
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation.java,4109,2188,0.53248966,373,0.0014275862
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation.java,4430,2338,0.5277652,405,0.001303124
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation.java,4702,2458,0.5227563,433,0.0012072893
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYTextAnnotation.java,XYTextAnnotation.java,5285,2759,0.5220435,493,0.0010589118
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java,XYTitleAnnotation.java,5644,2906,0.51488304,535,9.623982E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\HorizontalAlignment.java,HorizontalAlignment.java,48,42,0.875,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\Layer.java,Layer.java,85,74,0.87058824,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\LengthAdjustmentType.java,LengthAdjustmentType.java,132,115,0.8712121,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\package-info.java,package-info.java,136,118,0.86764705,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\PublicCloneable.java,PublicCloneable.java,189,166,0.87830687,1,0.87830687
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\RectangleAlignment.java,RectangleAlignment.java,317,214,0.67507887,15,0.04500526
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\RectangleAnchor.java,RectangleAnchor.java,469,271,0.5778252,40,0.01444563
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\RectangleEdge.java,RectangleEdge.java,576,336,0.5833333,54,0.010802469
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\RectangleInsets.java,RectangleInsets.java,1059,574,0.5420208,112,0.0048394715
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\Rotation.java,Rotation.java,1126,629,0.55861455,113,0.0049434914
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\SortOrder.java,SortOrder.java,1170,668,0.5709402,113,0.005052568
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\TableOrder.java,TableOrder.java,1214,707,0.5823723,113,0.005153737
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\UnitType.java,UnitType.java,1258,746,0.59300476,113,0.00524783
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\VerticalAlignment.java,VerticalAlignment.java,1306,788,0.60336906,113,0.0053395494
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api\XYCoordinateType.java,XYCoordinateType.java,1359,835,0.6144224,113,0.005437366
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java,Axis.java,1537,748,0.48666233,182,0.002673969
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisCollection.java,AxisCollection.java,1664,826,0.49639422,194,0.002558733
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisLabelLocation.java,AxisLabelLocation.java,1711,867,0.5067212,194,0.002611965
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisLocation.java,AxisLocation.java,1792,922,0.5145089,203,0.0025345266
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisSpace.java,AxisSpace.java,2134,1075,0.50374883,262,0.0019227054
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisState.java,AxisState.java,2309,1184,0.5127761,281,0.0018248259
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryAnchor.java,CategoryAnchor.java,2357,1226,0.52015275,281,0.0018510774
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryAxis.java,CategoryAxis.java,3654,1797,0.49178982,453,0.0010856288
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelPosition.java,CategoryLabelPosition.java,3883,1927,0.49626577,474,0.0010469742
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelPositions.java,CategoryLabelPositions.java,4269,2096,0.4909815,522,9.405776E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelWidthType.java,CategoryLabelWidthType.java,4314,2136,0.49513212,522,9.4852893E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryTick.java,CategoryTick.java,4446,2213,0.4977508,533,9.338664E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CompassFormat.java,CompassFormat.java,4586,2305,0.50261664,543,9.2562917E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java,CyclicNumberAxis.java,5634,2665,0.47302094,662,7.1453315E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\DateAxis.java,DateAxis.java,7305,3283,0.44941822,863,5.207627E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTick.java,DateTick.java,7425,3361,0.45265993,873,5.185108E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTickMarkPosition.java,DateTickMarkPosition.java,7478,3408,0.45573682,873,5.220353E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTickUnit.java,DateTickUnit.java,7795,3585,0.45991018,915,5.026341E-4
