chemin,paquet,paquet_LOC,paquet_CLOC,paquet_DC,WCP,paquet_BC
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\.github\workflows,workflows,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\.github,.github,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\annotations,annotations,5644,2906,0.51488304,535,9.623982E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\api,api,1359,835,0.6144224,113,0.005437366
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis,axis,17713,8344,0.47106645,1983,2.3755242E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block,block,4985,2593,0.5201605,648,8.027168E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\date,date,1330,784,0.58947366,157,0.0037546093
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\encoders,encoders,745,525,0.70469797,37,0.019045891
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\entity,entity,2581,1575,0.6102286,258,0.002365227
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event,event,1138,933,0.8198594,38,0.021575248
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\imagemap,imagemap,652,460,0.70552146,49,0.014398397
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\internal,internal,2153,977,0.45378542,251,0.00180791
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\labels,labels,5477,3299,0.60233706,499,0.0012070884
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\legend,legend,3381,1704,0.5039929,408,0.0012352768
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\compass,compass,2334,1176,0.50385606,228,0.002209895
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\dial,dial,5544,3082,0.5559163,549,0.001012598
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\flow,flow,759,303,0.3992095,99,0.004032419
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\pie,pie,4337,2114,0.4874337,491,9.927367E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot,plot,38039,18834,0.49512342,4529,1.093229E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\category,category,12622,5998,0.47520202,1502,3.163795E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy,xy,18308,8652,0.47258028,2105,2.245037E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\renderer,renderer,36676,17799,0.48530373,4333,1.12001784E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\swing\editor,editor,3421,1548,0.45249927,320,0.0014140602
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\swing,swing,8404,3935,0.4682294,857,5.463587E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\text\format,format,971,565,0.5818744,91,0.006394224
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\text,text,3210,1707,0.5317757,330,0.0016114416
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\title,title,2131,1052,0.49366495,269,0.0018351857
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\urls,urls,1559,952,0.61064786,151,0.0040440257
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\util,util,1690,921,0.5449704,158,0.0034491797
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart,chart,145423,73416,0.5048445,16327,3.0920837E-5
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\category,category,2019,1165,0.5770183,222,0.0025991816
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\flow,flow,971,560,0.576725,115,0.0050150002
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\function,function,542,366,0.67527676,41,0.016470164
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\gantt,gantt,2271,1277,0.56230736,273,0.002059734
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\general,general,5124,2844,0.5550351,568,9.771745E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\io,io,191,95,0.4973822,17,0.029257776
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\json\impl,impl,725,401,0.55310345,78,0.00709107
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\json,json,916,489,0.5338428,100,0.005338428
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\resources,resources,369,297,0.80487806,6,0.13414635
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\statistics,statistics,5746,3126,0.5440306,646,8.421526E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\time\ohlc,ohlc,855,520,0.60818714,88,0.0069112177
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\time,time,11049,6063,0.54873747,1257,4.3654532E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xml,xml,1149,703,0.6118364,89,0.006874566
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data\xy,xy,11555,7241,0.6266551,1201,5.217778E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\data,data,46641,26970,0.5782466,5058,1.1432317E-4
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree,jfree,192064,100386,0.52266955,21385,2.4440942E-5
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java\org,org,192064,100386,0.52266955,21385,2.4440942E-5
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\java,java,192107,100389,0.52256817,21385,2.4436202E-5
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\javadoc\org\jfree\chart\plot\doc-files,doc-files,0,0,0.0,0,0.0
C:\Users\xtota\Downloads\jfreechart-master\jfreechart-master\src\main\javadoc\org\jfree\chart\plot,plot,0,0,0.0,0,0.0
