"chemin","class","classe_CLOC","classe_LOC","classe_DC"
"org/jfree/chart/entity/JFreeChartEntity.java","org.jfree.chart.entity.JFreeChartEntity","111.0","81.0","1.37"
"org/jfree/chart/axis/ModuloAxis.java","org.jfree.chart.axis.ModuloAxis","187.0","218.0","0.86"
"org/jfree/chart/renderer/xy/HighLowRenderer.java","org.jfree.chart.renderer.xy.HighLowRenderer","206.0","246.0","0.84"
"org/jfree/chart/renderer/xy/XYAreaRenderer.java","org.jfree.chart.renderer.xy.XYAreaRenderer","265.0","395.0","0.67"
"org/jfree/data/function/NormalDistributionFunction2D.java","org.jfree.data.function.NormalDistributionFunction2D","88.0","54.0","1.63"
"org/jfree/chart/needle/PinNeedle.java","org.jfree.chart.needle.PinNeedle","71.0","60.0","1.18"
"org/jfree/chart/util/LogFormat.java","org.jfree.chart.util.LogFormat","125.0","102.0","1.23"
"org/jfree/chart/labels/XYZToolTipGenerator.java","org.jfree.chart.labels.XYZToolTipGenerator","48.0","5.0","9.6"
"org/jfree/chart/labels/CategoryItemLabelGenerator.java","org.jfree.chart.labels.CategoryItemLabelGenerator","70.0","7.0","10.0"
"org/jfree/chart/axis/TickUnits.java","org.jfree.chart.axis.TickUnits","123.0","74.0","1.66"
"org/jfree/data/xy/VectorSeries.java","org.jfree.data.xy.VectorSeries","114.0","45.0","2.53"
"org/jfree/chart/renderer/LookupPaintScale.java","org.jfree.chart.renderer.LookupPaintScale","165.0","187.0","0.88"
"org/jfree/data/xy/XYIntervalSeriesCollection.java","org.jfree.data.xy.XYIntervalSeriesCollection","215.0","136.0","1.58"
"org/jfree/data/category/CategoryDataset.java","org.jfree.data.category.CategoryDataset","59.0","5.0","11.8"
"org/jfree/data/function/PowerFunction2D.java","org.jfree.data.function.PowerFunction2D","75.0","44.0","1.7"
"org/jfree/data/UnknownKeyException.java","org.jfree.data.UnknownKeyException","47.0","6.0","7.83"
"org/jfree/data/time/SimpleTimePeriod.java","org.jfree.data.time.SimpleTimePeriod","106.0","94.0","1.13"
"org/jfree/chart/labels/BoxAndWhiskerToolTipGenerator.java","org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator","81.0","54.0","1.5"
"org/jfree/chart/plot/PiePlot3D.java","org.jfree.chart.plot.PiePlot3D","213.0","695.0","0.31"
"org/jfree/chart/servlet/ChartDeleter.java","org.jfree.chart.servlet.ChartDeleter","77.0","36.0","2.14"
"org/jfree/chart/labels/StandardXYZToolTipGenerator.java","org.jfree.chart.labels.StandardXYZToolTipGenerator","122.0","104.0","1.17"
"org/jfree/chart/urls/TimeSeriesURLGenerator.java","org.jfree.chart.urls.TimeSeriesURLGenerator","93.0","95.0","0.98"
"org/jfree/chart/axis/ValueTick.java","org.jfree.chart.axis.ValueTick","81.0","43.0","1.88"
"org/jfree/chart/ChartColor.java","org.jfree.chart.ChartColor","79.0","94.0","0.84"
"org/jfree/chart/needle/ShipNeedle.java","org.jfree.chart.needle.ShipNeedle","70.0","50.0","1.4"
"org/jfree/chart/plot/dial/StandardDialFrame.java","org.jfree.chart.plot.dial.StandardDialFrame","173.0","151.0","1.15"
"org/jfree/chart/renderer/xy/XYBarPainter.java","org.jfree.chart.renderer.xy.XYBarPainter","69.0","11.0","6.27"
"org/jfree/chart/renderer/xy/SamplingXYLineRenderer.java","org.jfree.chart.renderer.xy.SamplingXYLineRenderer","162.0","177.0","0.92"
"org/jfree/data/statistics/MultiValueCategoryDataset.java","org.jfree.data.statistics.MultiValueCategoryDataset","56.0","7.0","8.0"
"org/jfree/chart/text/TextLine.java","org.jfree.chart.text.TextLine","114.0","122.0","0.93"
"org/jfree/chart/entity/NodeEntity.java","org.jfree.chart.entity.NodeEntity","65.0","23.0","2.83"
"org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGenerator.java","org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator","60.0","22.0","2.73"
"org/jfree/data/DataUtils.java","org.jfree.data.DataUtils","122.0","128.0","0.95"
"org/jfree/chart/block/ColorBlock.java","org.jfree.chart.block.ColorBlock","98.0","68.0","1.44"
"org/jfree/data/xy/OHLCDataset.java","org.jfree.data.xy.OHLCDataset","136.0","13.0","10.46"
"org/jfree/data/time/Quarter.java","org.jfree.data.time.Quarter","236.0","207.0","1.14"
